V0	Vf	V_sent	D	dt	triple_id
3.036282	0.483063	0.500000	462.237929	0.239001	85.000000
3.513671	0.439436	0.500000	609.430185	0.261333	86.000000
3.967825	0.450950	0.500000	726.078900	0.306337	87.000000
0.056615	1.025677	1.000000	86.877684	0.186651	88.000000
0.473914	1.017340	1.000000	106.321602	0.149996	89.000000
1.521100	0.993551	1.000000	172.279285	0.127996	90.000000
1.966916	0.987618	1.000000	267.179425	0.157332	91.000000
2.469507	0.958461	1.000000	344.305438	0.166334	92.000000
2.958420	1.002234	1.000000	468.097949	0.215999	93.000000
3.498632	0.969383	1.000000	600.167999	0.235331	94.000000
3.961585	1.003415	1.000000	729.292946	0.259332	95.000000
0.034874	1.502297	1.500000	156.046724	0.230666	96.000000
0.501332	1.492207	1.500000	180.178030	0.195998	97.000000
0.979898	1.497224	1.500000	153.794426	0.139334	98.000000
2.022360	1.473083	1.500000	224.230196	0.118666	99.000000
2.452011	1.444635	1.500000	366.419384	0.177334	100.000000
2.983799	1.532158	1.500000	453.992268	0.177332	101.000000
3.449099	1.462466	1.500000	570.001851	0.214000	102.000000
3.983304	1.454005	1.500000	701.904211	0.227333	103.000000
0.018375	2.020511	2.000000	239.666762	0.273334	104.000000
0.501789	1.986618	2.000000	261.844571	0.235334	105.000000
1.060026	1.995524	2.000000	289.304275	0.201331	106.000000
1.509363	2.003995	2.000000	231.234602	0.139334	107.000000
2.525376	1.975146	2.000000	286.141394	0.124668	108.000000
3.015719	1.998545	2.000000	407.465082	0.152670	109.000000
3.474263	1.983649	2.000000	512.441135	0.171988	110.000000
3.957576	1.968127	2.000000	650.414315	0.210001	111.000000
-0.041452	2.550484	2.500000	396.745765	0.339668	112.000000
0.484736	2.484056	2.500000	397.849318	0.296339	113.000000
0.978266	2.490558	2.500000	423.623630	0.253668	114.000000
1.472980	2.482895	2.500000	394.831670	0.206996	115.000000
1.962181	2.490539	2.500000	330.017298	0.147678	116.000000
3.035315	2.492238	2.500000	362.101095	0.123999	117.000000
3.515045	2.515843	2.500000	472.003826	0.146334	118.000000
4.025666	2.503530	2.500000	618.663437	0.173001	119.000000
-0.018856	3.045279	3.000000	549.655174	0.385997	120.000000
0.497450	2.973887	3.000000	583.006668	0.358000	121.000000
1.001199	3.042022	3.000000	560.196396	0.302001	122.000000
1.471025	3.036235	3.000000	576.445880	0.270001	123.000000
1.986589	2.976506	3.000000	486.565337	0.205998	124.000000
2.498964	2.983354	3.000000	444.200472	0.166338	125.000000
3.480740	2.983890	3.000000	432.445179	0.119332	126.000000
4.013542	3.013951	3.000000	548.835111	0.147672	127.000000
0.005561	3.468517	3.500000	719.468473	0.457001	128.000000
0.499918	3.478274	3.500000	760.334172	0.402000	129.000000
0.980543	3.482942	3.500000	719.900232	0.349337	130.000000
1.464818	3.494594	3.500000	793.036318	0.325671	131.000000
2.053068	3.489688	3.500000	678.856541	0.254331	132.000000
2.512089	3.564939	3.500000	700.996054	0.228334	133.000000
2.999659	3.508009	3.500000	440.082386	0.142999	134.000000
3.967439	3.509118	3.500000	480.133561	0.115332	135.000000
-0.014564	3.984632	4.000000	1032.215937	0.523663	136.000000
0.535054	4.009181	4.000000	1054.817334	0.479003	137.000000
0.993251	3.997475	4.000000	1008.214336	0.422669	138.000000
1.517586	3.986969	4.000000	1001.559622	0.374333	139.000000
1.951368	4.001438	4.000000	1033.408664	0.344000	140.000000
2.497578	3.979199	4.000000	890.510932	0.281001	141.000000
3.000854	3.975570	4.000000	733.090532	0.209338	142.000000
3.507055	3.997794	4.000000	569.093794	0.153334	143.000000
