V0	Vf	V_sent	D	dt	triple_id	sample_id
5.742545	0.016274	0.000000	1247.324951	0.401946	30.000000	0.000000
2.342918	0.215130	0.200000	338.439270	0.229574	48.000000	0.000000
6.360182	0.239927	0.200000	1497.180420	0.417739	68.000000	0.000000
6.734548	0.218678	0.200000	1596.342287	0.437515	70.000000	0.000000
3.577158	0.404868	0.400000	635.122437	0.285060	89.000000	0.000000
4.756109	0.436743	0.400000	943.686157	0.328000	95.000000	0.000000
5.584894	0.425584	0.400000	1226.591310	0.371486	99.000000	0.000000
5.765149	0.442614	0.400000	1256.550293	0.373750	100.000000	0.000000
6.361544	0.424783	0.400000	1463.196779	0.408027	103.000000	0.000000
6.667324	0.401979	0.400000	1632.832275	0.428423	105.000000	0.000000
6.970369	0.429529	0.400000	1715.755373	0.429246	106.000000	0.000000
3.894077	0.668254	0.600000	693.952881	0.274253	126.000000	0.000000
5.875417	0.598146	0.600000	1344.498049	0.373622	136.000000	0.000000
6.385250	0.642615	0.600000	1462.798830	0.383034	138.000000	0.000000
6.551632	0.632852	0.600000	1569.104248	0.389709	139.000000	0.000000
4.934709	0.832920	0.800000	997.575439	0.313366	166.000000	0.000000
5.538393	0.805078	0.800000	1238.624025	0.361887	169.000000	0.000000
6.360910	0.809887	0.800000	1494.037842	0.385358	173.000000	0.000000
4.749613	1.022692	1.000000	948.037354	0.289208	200.000000	0.000000
4.959593	1.000127	1.000000	999.981690	0.318955	201.000000	0.000000
6.077651	0.994349	1.000000	1455.815186	0.374846	207.000000	0.000000
6.537924	1.060565	1.000000	1538.866944	0.370848	209.000000	0.000000
6.938433	1.040359	1.000000	1658.351076	0.399490	211.000000	0.000000
2.558231	1.213557	1.200000	372.871704	0.176350	224.000000	0.000000
5.141330	1.232702	1.200000	1034.982911	0.305576	237.000000	0.000000
5.471157	1.223196	1.200000	1134.186036	0.326855	239.000000	0.000000
5.740576	1.252914	1.200000	1262.339844	0.313069	240.000000	0.000000
5.948670	1.217217	1.200000	1241.989992	0.329266	241.000000	0.000000
6.367197	1.212490	1.200000	1447.673584	0.363323	243.000000	0.000000
6.917486	1.214682	1.200000	1697.078614	0.376668	246.000000	0.000000
4.152772	1.418042	1.400000	789.559937	0.243005	267.000000	0.000000
4.753009	1.431406	1.400000	907.078003	0.270181	270.000000	0.000000
5.534367	1.439317	1.400000	1122.137208	0.304810	274.000000	0.000000
5.724005	1.404248	1.400000	1263.454102	0.315131	275.000000	0.000000
6.579485	1.446442	1.400000	1469.436770	0.345069	279.000000	0.000000
6.740991	1.459886	1.400000	1592.825684	0.347984	280.000000	0.000000
6.942325	1.407661	1.400000	1645.316406	0.371003	281.000000	0.000000
3.382498	1.613091	1.600000	526.570496	0.202001	298.000000	0.000000
4.975993	1.624815	1.600000	963.915406	0.275002	306.000000	0.000000
5.184772	1.600944	1.600000	1091.812134	0.284998	307.000000	0.000000
5.578778	1.616996	1.600000	1152.126467	0.301986	309.000000	0.000000
5.783395	1.637183	1.600000	1189.709474	0.300002	310.000000	0.000000
6.577600	1.638143	1.600000	1524.890383	0.339033	314.000000	0.000000
6.751208	1.607755	1.600000	1594.928223	0.349965	315.000000	0.000000
6.983490	1.608138	1.600000	1715.787112	0.363159	316.000000	0.000000
3.982472	1.811057	1.800000	709.536865	0.211998	336.000000	0.000000
4.298617	1.806011	1.800000	792.586426	0.227003	338.000000	0.000000
4.775269	1.849049	1.800000	854.633789	0.243039	340.000000	0.000000
5.100333	1.837116	1.800000	1022.900513	0.269596	342.000000	0.000000
6.178310	1.805508	1.800000	1417.586672	0.317001	347.000000	0.000000
6.504372	1.811809	1.800000	1547.991699	0.332991	349.000000	0.000000
6.748872	1.805358	1.800000	1550.865967	0.344911	350.000000	0.000000
6.970171	1.839349	1.800000	1613.435061	0.343090	351.000000	0.000000
3.750498	2.016211	2.000000	606.707459	0.186022	370.000000	0.000000
4.744499	2.033990	2.000000	808.925903	0.233975	375.000000	0.000000
4.960278	2.042593	2.000000	900.255859	0.247061	376.000000	0.000000
5.373195	2.002437	2.000000	1045.312012	0.274988	378.000000	0.000000
5.535529	2.046148	2.000000	1096.170410	0.273065	379.000000	0.000000
6.077798	2.002060	2.000000	1360.948732	0.301372	382.000000	0.000000
6.353325	2.000436	2.000000	1466.468018	0.314970	383.000000	0.000000
6.460354	1.999362	2.000000	1474.367434	0.318064	384.000000	0.000000
6.775966	2.043602	2.000000	1459.254396	0.330041	385.000000	0.000000
