V0	Vf	V_sent
1.765013	3.573738	3.600000	641.000000
2.391253	3.571611	3.600000	644.000000
2.749874	3.581472	3.600000	646.000000
3.387523	3.580746	3.600000	649.000000
4.356545	3.598816	3.600000	653.000000
4.581071	3.602603	3.600000	654.000000
4.791115	3.610317	3.600000	655.000000
4.991617	3.600617	3.600000	656.000000
5.137665	3.598743	3.600000	657.000000
5.332692	3.609291	3.600000	658.000000
5.751594	3.626171	3.600000	660.000000
5.970010	3.620051	3.600000	661.000000
6.149540	3.611305	3.600000	662.000000
6.392660	3.599626	3.600000	663.000000
6.548118	3.631563	3.600000	664.000000
6.953551	3.599125	3.600000	666.000000
1.191994	3.781559	3.800000	673.000000
1.369528	3.770726	3.800000	674.000000
1.992487	3.768531	3.800000	677.000000
2.187087	3.771864	3.800000	678.000000
2.787132	3.785460	3.800000	681.000000
3.179656	3.771694	3.800000	683.000000
3.383460	3.782869	3.800000	684.000000
3.538167	3.763260	3.800000	685.000000
3.953428	3.816110	3.800000	686.000000
4.162949	3.811832	3.800000	687.000000
4.385862	3.798265	3.800000	688.000000
4.585784	3.803387	3.800000	689.000000
4.789006	3.821405	3.800000	690.000000
4.989739	3.802048	3.800000	691.000000
5.169522	3.819958	3.800000	692.000000
5.379583	3.816499	3.800000	693.000000
5.549895	3.798831	3.800000	694.000000
5.759902	3.818595	3.800000	695.000000
5.905094	3.806574	3.800000	696.000000
6.151509	3.806942	3.800000	697.000000
6.352890	3.799741	3.800000	698.000000
6.576989	3.803988	3.800000	699.000000
6.783320	3.796264	3.800000	700.000000
6.915138	3.806782	3.800000	701.000000
0.558230	3.985146	4.000000	705.000000
0.785675	3.981590	4.000000	706.000000
0.936890	3.970016	4.000000	707.000000
1.186457	3.991303	4.000000	708.000000
1.371056	3.970817	4.000000	709.000000
1.962678	3.984927	4.000000	712.000000
2.178870	3.988084	4.000000	713.000000
2.386408	3.964211	4.000000	714.000000
2.750039	3.967240	4.000000	716.000000
2.952228	3.975389	4.000000	717.000000
3.591221	3.960149	4.000000	720.000000
3.791216	3.980646	4.000000	721.000000
4.173198	4.009070	4.000000	722.000000
4.382617	4.011838	4.000000	723.000000
4.582259	3.996198	4.000000	724.000000
4.933160	3.996060	4.000000	726.000000
5.152932	4.008192	4.000000	727.000000
5.388641	4.007134	4.000000	728.000000
5.577783	4.005522	4.000000	729.000000
5.739555	4.006585	4.000000	730.000000
5.982668	3.996189	4.000000	731.000000
6.163150	4.000846	4.000000	732.000000
6.341924	4.030340	4.000000	733.000000
6.592721	4.014091	4.000000	734.000000
6.750514	4.020320	4.000000	735.000000
6.977766	4.030962	4.000000	736.000000
1.127417	4.173527	4.200000	743.000000
1.340496	4.188297	4.200000	744.000000
2.956973	4.157189	4.200000	752.000000
3.581973	4.176790	4.200000	755.000000
3.779859	4.173907	4.200000	756.000000
3.948613	4.166704	4.200000	757.000000
4.379720	4.199610	4.200000	758.000000
4.757633	4.215606	4.200000	760.000000
4.968523	4.202271	4.200000	761.000000
5.185057	4.226660	4.200000	762.000000
5.370470	4.196150	4.200000	763.000000
5.557289	4.204527	4.200000	764.000000
5.791999	4.212638	4.200000	765.000000
5.957664	4.199558	4.200000	766.000000
6.162166	4.203075	4.200000	767.000000
6.349243	4.213522	4.200000	768.000000
6.771626	4.211106	4.200000	770.000000
6.941010	4.219938	4.200000	771.000000
1.974827	4.373311	4.400000	782.000000
2.391624	4.381573	4.400000	784.000000
2.582727	4.387027	4.400000	785.000000
2.955205	4.376501	4.400000	787.000000
3.191495	4.376163	4.400000	788.000000
3.563954	4.371844	4.400000	790.000000
3.784927	4.362757	4.400000	791.000000
3.951645	4.376658	4.400000	792.000000
4.160823	4.368304	4.400000	793.000000
4.551377	4.398681	4.400000	794.000000
4.780358	4.428650	4.400000	795.000000
5.172323	4.421304	4.400000	797.000000
5.388884	4.419042	4.400000	798.000000
5.552988	4.429068	4.400000	799.000000
5.763602	4.436561	4.400000	800.000000
5.963850	4.413931	4.400000	801.000000
6.193112	4.426163	4.400000	802.000000
6.392748	4.397699	4.400000	803.000000
6.581093	4.397752	4.400000	804.000000
6.968613	4.410165	4.400000	806.000000
0.364582	4.573921	4.600000	809.000000
1.726473	4.586975	4.600000	816.000000
1.982900	4.581849	4.600000	817.000000
2.386366	4.589741	4.600000	819.000000
2.569605	4.581491	4.600000	820.000000
2.729728	4.592045	4.600000	821.000000
3.792936	4.579714	4.600000	826.000000
