V0	Vf	V_sent	D	dt	triple_id	sample_id
1.900000	0.840000	0.800000	1577.320000	0.003000	89.000000	0.000000
2.200000	0.840000	0.800000	2168.220000	0.004000	90.000000	0.000000
2.400000	0.840000	0.800000	2638.020000	0.005000	91.000000	0.000000
2.600000	0.840000	0.800000	3147.820000	0.005000	92.000000	0.000000
2.780000	0.840000	0.800000	3697.240000	0.005019	93.000000	0.000000
3.000000	0.840000	0.800000	4287.420000	0.007000	94.000000	0.000000
3.200000	0.840000	0.800000	4917.220000	0.006000	95.000000	0.000000
3.400000	0.840000	0.800000	5587.020000	0.006999	96.000000	0.000000
3.600000	0.840000	0.800000	6296.820000	0.008000	97.000000	0.000000
3.780000	0.840000	0.800000	7046.240000	0.008974	98.000000	0.000000
4.000000	0.840000	0.800000	7836.420000	0.009000	99.000000	0.000000
0.000000	0.960000	1.000000	452.160000	0.003000	100.000000	0.000000
0.160000	0.960000	1.000000	437.580000	0.003019	101.000000	0.000000
0.420000	0.960000	1.000000	391.360000	0.001998	102.000000	0.000000
0.600000	0.960000	1.000000	277.940000	0.001000	103.000000	0.000000
0.800000	0.960000	1.000000	139.740000	0.001000	104.000000	0.000000
1.140000	1.040000	1.000000	179.880000	0.001000	105.000000	0.000000
1.400000	1.040000	1.000000	499.220000	0.001009	106.000000	0.000000
1.600000	1.040000	1.000000	809.020000	0.002000	107.000000	0.000000
1.800000	1.040000	1.000000	1158.820000	0.003009	108.000000	0.000000
1.900000	1.040000	1.000000	1387.520000	0.002000	109.000000	0.000000
2.200000	1.040000	1.000000	1978.420000	0.004013	110.000000	0.000000
2.400000	1.040000	1.000000	2448.220000	0.004000	111.000000	0.000000
2.600000	1.040000	1.000000	2958.020000	0.005000	112.000000	0.000000
2.780000	1.040000	1.000000	3507.440000	0.005000	113.000000	0.000000
3.000000	1.040000	1.000000	4097.620000	0.006000	114.000000	0.000000
3.200000	1.040000	1.000000	4727.420000	0.007000	115.000000	0.000000
3.400000	1.040000	1.000000	5397.220000	0.006979	116.000000	0.000000
3.600000	1.040000	1.000000	6107.020000	0.008000	117.000000	0.000000
3.780000	1.040000	1.000000	6856.440000	0.008998	118.000000	0.000000
4.000000	1.040000	1.000000	7646.620000	0.010000	119.000000	0.000000
0.000000	1.160000	1.200000	662.360000	0.004000	120.000000	0.000000
0.160000	1.160000	1.200000	647.780000	0.003000	121.000000	0.000000
0.420000	1.160000	1.200000	601.560000	0.002000	122.000000	0.000000
0.600000	1.160000	1.200000	488.140000	0.001000	123.000000	0.000000
0.800000	1.160000	1.200000	349.940000	0.001000	124.000000	0.000000
1.000000	1.160000	1.200000	171.740000	0.001000	125.000000	0.000000
1.400000	1.240000	1.200000	269.420000	0.000000	126.000000	0.000000
1.600000	1.240000	1.200000	579.220000	0.001950	127.000000	0.000000
1.800000	1.240000	1.200000	929.020000	0.002000	128.000000	0.000000
1.900000	1.240000	1.200000	1157.720000	0.003000	129.000000	0.000000
2.200000	1.240000	1.200000	1748.620000	0.003003	130.000000	0.000000
2.400000	1.240000	1.200000	2218.420000	0.003000	131.000000	0.000000
