V0	Vf	V_sent	D	dt	triple_id	considered_samples
3.840000	0.640000	0.600000	1791.600000	0.002488	78.000000	0.000000	1.000000
4.080000	0.640000	0.600000	1948.800000	0.003500	79.000000	0.000000	1.000000
0.000000	0.800000	0.800000	80.000000	0.001017	80.000000	0.000000	1.000000
0.240000	0.800000	0.800000	80.400000	0.000000	81.000000	0.000000	1.000000
0.480000	0.800000	0.800000	74.400000	0.001000	82.000000	0.000000	1.000000
0.640000	0.800000	0.800000	52.400000	0.000000	83.000000	0.000000	1.000000
1.040000	0.800000	0.800000	54.800000	0.000514	84.000000	0.000000	1.000000
1.200000	0.800000	0.800000	124.000000	0.000486	85.000000	0.000000	1.000000
1.440000	0.800000	0.800000	178.800000	0.000500	86.000000	0.000000	1.000000
1.680000	0.800000	0.800000	240.000000	0.000500	87.000000	0.000000	1.000000
1.840000	0.800000	0.800000	342.800000	0.001003	88.000000	0.000000	1.000000
2.080000	0.800000	0.800000	420.000000	0.001500	89.000000	0.000000	1.000000
2.240000	0.800000	0.800000	546.800000	0.000999	90.000000	0.000000	1.000000
2.480000	0.800000	0.800000	640.000000	0.002019	91.000000	0.000000	1.000000
2.640000	0.800000	0.800000	790.800000	0.001017	92.000000	0.000000	1.000000
2.880000	0.800000	0.800000	900.000000	0.001498	93.000000	0.000000	1.000000
3.040000	0.800000	0.800000	1074.800000	0.002472	94.000000	0.000000	1.000000
3.280000	0.800000	0.800000	1200.000000	0.002498	95.000000	0.000000	1.000000
3.440000	0.800000	0.800000	1398.800000	0.002000	96.000000	0.000000	1.000000
3.680000	0.800000	0.800000	1540.000000	0.002511	97.000000	0.000000	1.000000
3.840000	0.800000	0.800000	1762.800000	0.003502	98.000000	0.000000	1.000000
4.080000	0.800000	0.800000	1920.000000	0.002502	99.000000	0.000000	1.000000
0.000000	0.960000	1.000000	115.200000	0.000997	100.000000	0.000000	1.000000
0.240000	0.960000	1.000000	115.600000	0.000500	101.000000	0.000000	1.000000
0.480000	0.960000	1.000000	109.600000	0.000512	102.000000	0.000000	1.000000
0.640000	0.960000	1.000000	87.600000	0.000517	103.000000	0.000000	1.000000
0.880000	0.960000	1.000000	65.600000	0.000000	104.000000	0.000000	1.000000
1.200000	1.040000	1.000000	68.800000	0.000000	105.000000	0.000000	1.000000
1.440000	1.040000	1.000000	123.600000	0.000500	106.000000	0.000000	1.000000
1.680000	1.040000	1.000000	184.800000	0.000000	107.000000	0.000000	1.000000
1.840000	1.040000	1.000000	287.600000	0.000502	108.000000	0.000000	1.000000
2.080000	1.040000	1.000000	364.800000	0.000511	109.000000	0.000000	1.000000
2.240000	1.040000	1.000000	491.600000	0.001014	110.000000	0.000000	1.000000
2.480000	1.040000	1.000000	584.800000	0.001013	111.000000	0.000000	1.000000
2.640000	1.040000	1.000000	735.600000	0.001481	112.000000	0.000000	1.000000
2.880000	1.040000	1.000000	844.800000	0.001498	113.000000	0.000000	1.000000
3.040000	1.040000	1.000000	1019.600000	0.001990	114.000000	0.000000	1.000000
3.280000	1.040000	1.000000	1144.800000	0.001516	115.000000	0.000000	1.000000
3.440000	1.040000	1.000000	1343.600000	0.002514	116.000000	0.000000	1.000000
3.680000	1.040000	1.000000	1484.800000	0.001967	117.000000	0.000000	1.000000
3.840000	1.040000	1.000000	1707.600000	0.002460	118.000000	0.000000	1.000000
4.080000	1.040000	1.000000	1864.800000	0.002002	119.000000	0.000000	1.000000
0.000000	1.200000	1.200000	180.000000	0.000500	120.000000	0.000000	1.000000
0.240000	1.200000	1.200000	180.400000	0.000976	121.000000	0.000000	1.000000
0.480000	1.200000	1.200000	174.400000	0.001492	122.000000	0.000000	1.000000
0.640000	1.200000	1.200000	152.400000	0.000501	123.000000	0.000000	1.000000
0.880000	1.200000	1.200000	130.400000	0.000482	124.000000	0.000000	1.000000
1.040000	1.200000	1.200000	84.400000	0.000000	125.000000	0.000000	1.000000
1.440000	1.200000	1.200000	78.800000	0.000513	126.000000	0.000000	1.000000
1.680000	1.200000	1.200000	140.000000	0.000502	127.000000	0.000000	1.000000
1.840000	1.200000	1.200000	242.800000	0.000512	128.000000	0.000000	1.000000
2.080000	1.200000	1.200000	320.000000	0.001006	129.000000	0.000000	1.000000
2.240000	1.200000	1.200000	446.800000	0.001019	130.000000	0.000000	1.000000
2.480000	1.200000	1.200000	540.000000	0.001515	131.000000	0.000000	1.000000
2.640000	1.200000	1.200000	690.800000	0.001484	132.000000	0.000000	1.000000
2.880000	1.200000	1.200000	800.000000	0.001016	133.000000	0.000000	1.000000
3.040000	1.200000	1.200000	974.800000	0.000999	134.000000	0.000000	1.000000
3.280000	1.200000	1.200000	1100.000000	0.001997	135.000000	0.000000	1.000000
3.440000	1.200000	1.200000	1298.800000	0.001484	136.000000	0.000000	1.000000
3.680000	1.200000	1.200000	1440.000000	0.002513	137.000000	0.000000	1.000000
3.840000	1.200000	1.200000	1662.800000	0.002509	138.000000	0.000000	1.000000
4.080000	1.200000	1.200000	1820.000000	0.002512	139.000000	0.000000	1.000000
0.000000	1.360000	1.400000	231.200000	0.000999	140.000000	0.000000	1.000000
0.240000	1.360000	1.400000	231.600000	0.001478	141.000000	0.000000	1.000000
0.480000	1.360000	1.400000	225.600000	0.001014	142.000000	0.000000	1.000000
0.640000	1.360000	1.400000	203.600000	0.000513	143.000000	0.000000	1.000000
0.880000	1.360000	1.400000	181.600000	0.001004	144.000000	0.000000	1.000000
1.040000	1.360000	1.400000	135.600000	0.001002	145.000000	0.000000	1.000000
1.200000	1.360000	1.400000	75.200000	0.000000	146.000000	0.000000	1.000000
1.680000	1.440000	1.400000	60.800000	0.000000	147.000000	0.000000	1.000000
1.840000	1.440000	1.400000	163.600000	0.000502	148.000000	0.000000	1.000000
2.080000	1.440000	1.400000	240.800000	0.000000	149.000000	0.000000	1.000000
2.240000	1.440000	1.400000	367.600000	0.001000	150.000000	0.000000	1.000000
2.480000	1.440000	1.400000	460.800000	0.001004	151.000000	0.000000	1.000000
2.640000	1.440000	1.400000	611.600000	0.001003	152.000000	0.000000	1.000000
2.880000	1.440000	1.400000	720.800000	0.001004	153.000000	0.000000	1.000000
3.040000	1.440000	1.400000	895.600000	0.001501	154.000000	0.000000	1.000000
3.280000	1.440000	1.400000	1020.800000	0.002007	155.000000	0.000000	1.000000
3.440000	1.440000	1.400000	1219.600000	0.001500	156.000000	0.000000	1.000000
3.680000	1.440000	1.400000	1360.800000	0.001501	157.000000	0.000000	1.000000
3.840000	1.440000	1.400000	1583.600000	0.002526	158.000000	0.000000	1.000000
4.080000	1.440000	1.400000	1740.800000	0.002001	159.000000	0.000000	1.000000
0.000000	1.600000	1.600000	320.000000	0.001484	160.000000	0.000000	1.000000
0.240000	1.600000	1.600000	320.400000	0.000519	161.000000	0.000000	1.000000
0.480000	1.600000	1.600000	314.400000	0.001500	162.000000	0.000000	1.000000
0.640000	1.600000	1.600000	292.400000	0.000985	163.000000	0.000000	1.000000
0.880000	1.600000	1.600000	270.400000	0.000999	164.000000	0.000000	1.000000
1.040000	1.600000	1.600000	224.400000	0.000998	165.000000	0.000000	1.000000
1.200000	1.600000	1.600000	164.000000	0.000000	166.000000	0.000000	1.000000
1.440000	1.600000	1.600000	116.400000	0.000000	167.000000	0.000000	1.000000
1.840000	1.600000	1.600000	102.800000	0.000000	168.000000	0.000000	1.000000
2.080000	1.600000	1.600000	180.000000	0.000519	169.000000	0.000000	1.000000
2.240000	1.600000	1.600000	306.800000	0.001000	170.000000	0.000000	1.000000
2.480000	1.600000	1.600000	400.000000	0.001031	171.000000	0.000000	1.000000
2.640000	1.600000	1.600000	550.800000	0.000984	172.000000	0.000000	1.000000
2.880000	1.600000	1.600000	660.000000	0.001000	173.000000	0.000000	1.000000
3.040000	1.600000	1.600000	834.800000	0.001499	174.000000	0.000000	1.000000
3.280000	1.600000	1.600000	960.000000	0.002016	175.000000	0.000000	1.000000
3.440000	1.600000	1.600000	1158.800000	0.002019	176.000000	0.000000	1.000000
3.680000	1.600000	1.600000	1300.000000	0.001485	177.000000	0.000000	1.000000
3.840000	1.600000	1.600000	1522.800000	0.003015	178.000000	0.000000	1.000000
4.080000	1.600000	1.600000	1680.000000	0.002501	179.000000	0.000000	1.000000
0.000000	1.760000	1.800000	387.200000	0.002009	180.000000	0.000000	1.000000
0.240000	1.760000	1.800000	387.600000	0.000989	181.000000	0.000000	1.000000
0.480000	1.760000	1.800000	381.600000	0.001500	182.000000	0.000000	1.000000
0.640000	1.760000	1.800000	359.600000	0.001499	183.000000	0.000000	1.000000
0.880000	1.760000	1.800000	337.600000	0.000499	184.000000	0.000000	1.000000
1.040000	1.760000	1.800000	291.600000	0.001000	185.000000	0.000000	1.000000
1.200000	1.760000	1.800000	231.200000	0.000515	186.000000	0.000000	1.000000
1.440000	1.760000	1.800000	183.600000	0.000987	187.000000	0.000000	1.000000
