V0	Vf	V_sent	D	dt	triple_id	sample_id
5.469426	1.411632	1.400000	1174.266640	0.315780	274.000000	0.000000
6.763043	2.066733	2.000000	1572.606201	0.315797	385.000000	0.000000
5.956784	3.634035	3.600000	975.262451	0.203984	661.000000	0.000000
6.496213	3.635745	3.600000	1197.697510	0.228929	664.000000	0.000000
5.310884	3.817330	3.800000	781.376954	0.157784	693.000000	0.000000
3.136533	4.737739	4.800000	1157.974304	0.304937	858.000000	0.000000
3.540305	4.969297	5.000000	1248.816589	0.302217	895.000000	0.000000
4.776904	5.186204	5.200000	811.299805	0.160282	936.000000	0.000000
5.558741	5.214142	5.200000	655.155029	0.117774	939.000000	0.000000
6.688733	5.249665	5.200000	1026.888429	0.156700	945.000000	0.000000
6.906009	5.210901	5.200000	1129.604492	0.175385	946.000000	0.000000
5.082705	5.355291	5.400000	701.292237	0.112695	973.000000	0.000000
5.931240	5.407707	5.400000	692.057129	0.128037	976.000000	0.000000
6.099175	5.433709	5.400000	795.706056	0.114096	977.000000	0.000000
6.874683	6.045045	6.000000	899.829590	0.131059	1086.000000	0.000000
4.340810	6.380989	6.400000	2474.520752	0.458165	1144.000000	0.000000
5.462745	6.356350	6.400000	1574.950439	0.259258	1150.000000	0.000000
1.290454	6.558408	6.600000	3547.354798	0.859970	1164.000000	0.000000
5.153448	6.534988	6.600000	2080.765137	0.357297	1183.000000	0.000000
4.934737	6.745433	6.800000	2607.270265	0.456233	1217.000000	0.000000
0.520946	6.983884	7.000000	4354.514591	1.041432	1230.000000	0.000000
1.318172	6.932078	7.000000	4202.830048	0.960190	1234.000000	0.000000
1.755336	6.926617	7.000000	4160.281097	0.913000	1236.000000	0.000000
4.515691	6.948841	7.000000	3326.498779	0.573729	1250.000000	0.000000
4.925897	6.919387	7.000000	2919.316406	0.501654	1252.000000	0.000000
6.694014	6.922484	7.000000	1011.336182	0.141009	1261.000000	0.000000
6.591253	4.625897	4.600000	1044.465089	0.185345	839.000000	0.000000
5.527861	1.465150	1.400000	1131.139648	0.301240	274.000000	1.000000
6.763072	2.011779	2.000000	1528.388674	0.329061	385.000000	1.000000
5.956633	3.632849	3.600000	1064.594238	0.198353	661.000000	1.000000
6.531506	3.614498	3.600000	1281.732912	0.245378	664.000000	1.000000
5.327880	3.815907	3.800000	862.694580	0.172036	693.000000	1.000000
3.173398	4.757864	4.800000	1213.131287	0.314940	858.000000	1.000000
3.502513	4.980134	5.000000	1304.180786	0.300006	895.000000	1.000000
4.776515	5.152463	5.200000	735.527222	0.143998	936.000000	1.000000
5.558701	5.214469	5.200000	654.035400	0.112966	939.000000	1.000000
6.753269	5.208233	5.200000	1014.107179	0.172037	945.000000	1.000000
6.905050	5.261235	5.200000	1046.188477	0.157001	946.000000	1.000000
5.146389	5.369771	5.400000	622.093994	0.130933	973.000000	1.000000
5.942248	5.397073	5.400000	777.299805	0.127413	976.000000	1.000000
6.014417	5.404419	5.400000	787.935304	0.130012	977.000000	1.000000
6.880712	6.006960	6.000000	887.392578	0.142996	1086.000000	1.000000
4.335775	6.357039	6.400000	2447.986573	0.456001	1144.000000	1.000000
5.422697	6.341019	6.400000	1491.943849	0.256999	1150.000000	1.000000
1.330963	6.558732	6.600000	3570.316254	0.855769	1164.000000	1.000000
5.154873	6.551672	6.600000	2087.813477	0.369924	1183.000000	1.000000
4.868613	6.730874	6.800000	2600.604248	0.445330	1217.000000	1.000000
0.520877	6.933709	7.000000	4213.961007	1.034906	1230.000000	1.000000
1.316443	6.893728	7.000000	4122.000687	0.942057	1234.000000	1.000000
1.728153	6.957395	7.000000	4206.858246	0.916999	1236.000000	1.000000
4.514461	6.962651	7.000000	3343.305908	0.575099	1250.000000	1.000000
4.929015	6.920324	7.000000	2990.926515	0.499917	1252.000000	1.000000
6.675639	6.904801	7.000000	911.604249	0.142000	1261.000000	1.000000
6.592696	4.627136	4.600000	1050.254152	0.188999	839.000000	1.000000
5.528346	1.411165	1.400000	1176.402588	0.305002	274.000000	2.000000
6.749531	2.012741	2.000000	1523.273438	0.327746	385.000000	2.000000
5.954487	3.666416	3.600000	985.833986	0.199939	661.000000	2.000000
6.533134	3.634901	3.600000	1195.308595	0.229267	664.000000	2.000000
5.326575	3.817299	3.800000	782.897949	0.170680	693.000000	2.000000
3.154424	4.757356	4.800000	1212.031921	0.315098	858.000000	2.000000
3.539972	4.980220	5.000000	1307.570801	0.300030	895.000000	2.000000
4.776429	5.151640	5.200000	667.326172	0.157567	936.000000	2.000000
5.561022	5.203639	5.200000	655.103760	0.114999	939.000000	2.000000
6.755277	5.220071	5.200000	1121.937501	0.172060	945.000000	2.000000
6.903746	5.202297	5.200000	1122.230959	0.171536	946.000000	2.000000
5.055364	5.356224	5.400000	704.263306	0.126033	973.000000	2.000000
5.943608	5.449944	5.400000	691.481934	0.113738	976.000000	2.000000
6.055708	5.433630	5.400000	797.460693	0.127260	977.000000	2.000000
6.791481	6.006649	6.000000	991.161865	0.143533	1086.000000	2.000000
4.340707	6.340433	6.400000	2372.604126	0.446490	1144.000000	2.000000
5.491041	6.339954	6.400000	1490.877687	0.260302	1150.000000	2.000000
1.262984	6.542609	6.600000	3522.720459	0.861439	1164.000000	2.000000
5.154720	6.565879	6.600000	2174.614990	0.374632	1183.000000	2.000000
4.935634	6.746442	6.800000	2681.124026	0.445357	1217.000000	2.000000
0.521955	6.916961	7.000000	4185.879948	1.030253	1230.000000	2.000000
1.316219	6.973788	7.000000	4308.765671	0.968254	1234.000000	2.000000
1.756760	6.959121	7.000000	4237.817390	0.917390	1236.000000	2.000000
4.454751	6.949208	7.000000	3329.437866	0.564026	1250.000000	2.000000
4.929004	6.936728	7.000000	2999.805054	0.503026	1252.000000	2.000000
6.694126	6.923446	7.000000	1017.493654	0.143846	1261.000000	2.000000
6.574145	4.609879	4.600000	1134.679932	0.183777	839.000000	2.000000
