V0	Vf	V_sent
-3.000000	0.000000	0.000000	66.000000
-2.500000	0.000000	0.000000	67.000000
-2.000000	0.000000	0.000000	68.000000
-1.500000	0.000000	0.000000	69.000000
-1.000000	0.000000	0.000000	70.000000
-0.500000	0.000000	0.000000	71.000000
0.500000	0.000000	0.000000	72.000000
1.000000	0.000000	0.000000	73.000000
1.500000	0.000000	0.000000	74.000000
2.000000	0.000000	0.000000	75.000000
2.500000	0.000000	0.000000	76.000000
3.000000	0.000000	0.000000	77.000000
3.500000	0.000000	0.000000	78.000000
4.000000	0.000000	0.000000	79.000000
0.000000	0.500000	0.500000	80.000000
1.000000	0.500000	0.500000	81.000000
1.500000	0.500000	0.500000	82.000000
2.000000	0.500000	0.500000	83.000000
2.500000	0.500000	0.500000	84.000000
3.000000	0.500000	0.500000	85.000000
3.500000	0.500000	0.500000	86.000000
4.000000	0.500000	0.500000	87.000000
0.000000	1.000000	1.000000	88.000000
0.500000	1.000000	1.000000	89.000000
1.500000	1.000000	1.000000	90.000000
2.000000	1.000000	1.000000	91.000000
2.500000	1.000000	1.000000	92.000000
3.000000	1.000000	1.000000	93.000000
3.500000	1.000000	1.000000	94.000000
4.000000	1.000000	1.000000	95.000000
0.000000	1.500000	1.500000	96.000000
0.500000	1.500000	1.500000	97.000000
1.000000	1.500000	1.500000	98.000000
2.000000	1.500000	1.500000	99.000000
2.500000	1.500000	1.500000	100.000000
3.000000	1.500000	1.500000	101.000000
3.500000	1.500000	1.500000	102.000000
4.000000	1.500000	1.500000	103.000000
0.000000	2.000000	2.000000	104.000000
0.500000	2.000000	2.000000	105.000000
1.000000	2.000000	2.000000	106.000000
1.500000	2.000000	2.000000	107.000000
2.500000	2.000000	2.000000	108.000000
3.000000	2.000000	2.000000	109.000000
3.500000	2.000000	2.000000	110.000000
4.000000	2.000000	2.000000	111.000000
0.000000	2.500000	2.500000	112.000000
0.500000	2.500000	2.500000	113.000000
1.000000	2.500000	2.500000	114.000000
1.500000	2.500000	2.500000	115.000000
2.000000	2.500000	2.500000	116.000000
3.000000	2.500000	2.500000	117.000000
3.500000	2.500000	2.500000	118.000000
4.000000	2.500000	2.500000	119.000000
0.000000	3.000000	3.000000	120.000000
0.500000	3.000000	3.000000	121.000000
1.000000	3.000000	3.000000	122.000000
1.500000	3.000000	3.000000	123.000000
2.000000	3.000000	3.000000	124.000000
2.500000	3.000000	3.000000	125.000000
3.500000	3.000000	3.000000	126.000000
4.000000	3.000000	3.000000	127.000000
0.000000	3.500000	3.500000	128.000000
0.500000	3.500000	3.500000	129.000000
1.000000	3.500000	3.500000	130.000000
1.500000	3.500000	3.500000	131.000000
2.000000	3.500000	3.500000	132.000000
2.500000	3.500000	3.500000	133.000000
3.000000	3.500000	3.500000	134.000000
4.000000	3.500000	3.500000	135.000000
0.000000	4.000000	4.000000	136.000000
0.500000	4.000000	4.000000	137.000000
1.000000	4.000000	4.000000	138.000000
1.500000	4.000000	4.000000	139.000000
2.000000	4.000000	4.000000	140.000000
2.500000	4.000000	4.000000	141.000000
3.000000	4.000000	4.000000	142.000000
3.500000	4.000000	4.000000	143.000000
