V0	Vf	V_sent
-0.200000	-2.800000	-2.800000	138.000000
0.000000	-2.800000	-2.800000	139.000000
-4.000000	-2.600000	-2.600000	140.000000
-3.800000	-2.600000	-2.600000	141.000000
-3.600000	-2.600000	-2.600000	142.000000
-3.400000	-2.600000	-2.600000	143.000000
-3.200000	-2.600000	-2.600000	144.000000
-3.000000	-2.600000	-2.600000	145.000000
-2.800000	-2.600000	-2.600000	146.000000
-2.400000	-2.600000	-2.600000	147.000000
-2.200000	-2.600000	-2.600000	148.000000
-2.000000	-2.600000	-2.600000	149.000000
-1.800000	-2.600000	-2.600000	150.000000
-1.600000	-2.600000	-2.600000	151.000000
-1.400000	-2.600000	-2.600000	152.000000
-1.200000	-2.600000	-2.600000	153.000000
-1.000000	-2.600000	-2.600000	154.000000
-0.800000	-2.600000	-2.600000	155.000000
-0.600000	-2.600000	-2.600000	156.000000
-0.400000	-2.600000	-2.600000	157.000000
-0.200000	-2.600000	-2.600000	158.000000
0.000000	-2.600000	-2.600000	159.000000
-4.000000	-2.400000	-2.400000	160.000000
-3.800000	-2.400000	-2.400000	161.000000
-3.600000	-2.400000	-2.400000	162.000000
-3.400000	-2.400000	-2.400000	163.000000
-3.200000	-2.400000	-2.400000	164.000000
-3.000000	-2.400000	-2.400000	165.000000
-2.800000	-2.400000	-2.400000	166.000000
-2.600000	-2.400000	-2.400000	167.000000
-2.200000	-2.400000	-2.400000	168.000000
-2.000000	-2.400000	-2.400000	169.000000
-1.800000	-2.400000	-2.400000	170.000000
-1.600000	-2.400000	-2.400000	171.000000
-1.400000	-2.400000	-2.400000	172.000000
-1.200000	-2.400000	-2.400000	173.000000
-1.000000	-2.400000	-2.400000	174.000000
-0.800000	-2.400000	-2.400000	175.000000
-0.600000	-2.400000	-2.400000	176.000000
-0.400000	-2.400000	-2.400000	177.000000
-0.200000	-2.400000	-2.400000	178.000000
0.000000	-2.400000	-2.400000	179.000000
-4.000000	-2.200000	-2.200000	180.000000
-3.800000	-2.200000	-2.200000	181.000000
-3.600000	-2.200000	-2.200000	182.000000
-3.400000	-2.200000	-2.200000	183.000000
-3.200000	-2.200000	-2.200000	184.000000
-3.000000	-2.200000	-2.200000	185.000000
-2.800000	-2.200000	-2.200000	186.000000
-2.600000	-2.200000	-2.200000	187.000000
-2.400000	-2.200000	-2.200000	188.000000
-2.000000	-2.200000	-2.200000	189.000000
-1.800000	-2.200000	-2.200000	190.000000
-1.600000	-2.200000	-2.200000	191.000000
-1.400000	-2.200000	-2.200000	192.000000
-1.200000	-2.200000	-2.200000	193.000000
-1.000000	-2.200000	-2.200000	194.000000
-0.800000	-2.200000	-2.200000	195.000000
-0.600000	-2.200000	-2.200000	196.000000
-0.400000	-2.200000	-2.200000	197.000000
-0.200000	-2.200000	-2.200000	198.000000
0.000000	-2.200000	-2.200000	199.000000
-4.000000	-2.000000	-2.000000	200.000000
-3.800000	-2.000000	-2.000000	201.000000
-3.600000	-2.000000	-2.000000	202.000000
-3.400000	-2.000000	-2.000000	203.000000
-3.200000	-2.000000	-2.000000	204.000000
-3.000000	-2.000000	-2.000000	205.000000
-2.800000	-2.000000	-2.000000	206.000000
-2.600000	-2.000000	-2.000000	207.000000
-2.400000	-2.000000	-2.000000	208.000000
-2.200000	-2.000000	-2.000000	209.000000
-1.800000	-2.000000	-2.000000	210.000000
-1.600000	-2.000000	-2.000000	211.000000
-1.400000	-2.000000	-2.000000	212.000000
-1.200000	-2.000000	-2.000000	213.000000
-1.000000	-2.000000	-2.000000	214.000000
-0.800000	-2.000000	-2.000000	215.000000
-0.600000	-2.000000	-2.000000	216.000000
-0.400000	-2.000000	-2.000000	217.000000
-0.200000	-2.000000	-2.000000	218.000000
0.000000	-2.000000	-2.000000	219.000000
-4.000000	-1.800000	-1.800000	220.000000
-3.800000	-1.800000	-1.800000	221.000000
-3.600000	-1.800000	-1.800000	222.000000
-3.400000	-1.800000	-1.800000	223.000000
-3.200000	-1.800000	-1.800000	224.000000
-3.000000	-1.800000	-1.800000	225.000000
-2.800000	-1.800000	-1.800000	226.000000
-2.600000	-1.800000	-1.800000	227.000000
-2.400000	-1.800000	-1.800000	228.000000
-2.200000	-1.800000	-1.800000	229.000000
-2.000000	-1.800000	-1.800000	230.000000
-1.600000	-1.800000	-1.800000	231.000000
-1.400000	-1.800000	-1.800000	232.000000
-1.200000	-1.800000	-1.800000	233.000000
-1.000000	-1.800000	-1.800000	234.000000
-0.800000	-1.800000	-1.800000	235.000000
-0.600000	-1.800000	-1.800000	236.000000
-0.400000	-1.800000	-1.800000	237.000000
-0.200000	-1.800000	-1.800000	238.000000
0.000000	-1.800000	-1.800000	239.000000
-4.000000	-1.600000	-1.600000	240.000000
-3.800000	-1.600000	-1.600000	241.000000
-3.600000	-1.600000	-1.600000	242.000000
-3.400000	-1.600000	-1.600000	243.000000
-3.200000	-1.600000	-1.600000	244.000000
-3.000000	-1.600000	-1.600000	245.000000
-2.800000	-1.600000	-1.600000	246.000000
-2.600000	-1.600000	-1.600000	247.000000
-2.400000	-1.600000	-1.600000	248.000000
-2.200000	-1.600000	-1.600000	249.000000
-2.000000	-1.600000	-1.600000	250.000000
-1.800000	-1.600000	-1.600000	251.000000
-1.400000	-1.600000	-1.600000	252.000000
-1.200000	-1.600000	-1.600000	253.000000
-1.000000	-1.600000	-1.600000	254.000000
-0.800000	-1.600000	-1.600000	255.000000
-0.600000	-1.600000	-1.600000	256.000000
-0.400000	-1.600000	-1.600000	257.000000
-0.200000	-1.600000	-1.600000	258.000000
0.000000	-1.600000	-1.600000	259.000000
-4.000000	-1.400000	-1.400000	260.000000
-3.800000	-1.400000	-1.400000	261.000000
-3.600000	-1.400000	-1.400000	262.000000
-3.400000	-1.400000	-1.400000	263.000000
-3.200000	-1.400000	-1.400000	264.000000
-3.000000	-1.400000	-1.400000	265.000000
