V0	Vf	V_sent	D	dt
-0.587056	-3.174778	-3.200000	715.422110	0.533478	96.000000
-0.381047	-3.173057	-3.200000	655.564822	0.386325	97.000000
-0.155746	-3.178374	-3.200000	651.033571	0.413660	98.000000
-0.000583	-3.175515	-3.200000	632.020023	0.425003	99.000000
-3.978498	-3.013582	-3.000000	562.672892	0.163343	100.000000
-3.791860	-3.002850	-3.000000	560.756551	0.157996	101.000000
-3.585769	-3.013432	-3.000000	442.310364	0.140002	102.000000
-3.380975	-3.022828	-3.000000	426.907572	0.124328	103.000000
-3.163032	-3.026644	-3.000000	362.231527	0.114335	104.000000
-2.789472	-2.971010	-3.000000	369.760193	0.120371	105.000000
-2.592569	-2.963406	-3.000000	407.406077	0.147336	106.000000
-2.392428	-2.978068	-3.000000	442.498779	0.173380	107.000000
-2.178899	-2.969980	-3.000000	482.361532	0.191325	108.000000
-1.989466	-2.956226	-3.000000	505.188700	0.210666	109.000000
-1.791923	-2.975074	-3.000000	526.087489	0.232334	110.000000
-1.572024	-2.981856	-3.000000	567.615408	0.254557	111.000000
-1.370448	-2.983205	-3.000000	603.180710	0.277656	112.000000
-1.190717	-2.981652	-3.000000	581.856913	0.293994	113.000000
-0.948372	-2.972175	-3.000000	585.570862	0.316337	114.000000
-0.759350	-2.983937	-3.000000	619.925154	0.339995	115.000000
-0.567310	-2.970692	-3.000000	579.320055	0.349007	116.000000
-0.389736	-2.980653	-3.000000	571.151214	0.368999	117.000000
-0.177517	-2.962794	-3.000000	537.349687	0.374671	118.000000
-0.000090	-2.985250	-3.000000	555.139886	0.405667	119.000000
-3.992257	-2.801284	-2.800000	635.402954	0.177670	120.000000
-3.782158	-2.831073	-2.800000	552.410238	0.157331	121.000000
-3.590007	-2.825937	-2.800000	500.938944	0.145659	122.000000
-3.383716	-2.820632	-2.800000	417.594055	0.137674	123.000000
-3.187497	-2.827216	-2.800000	385.096110	0.115330	124.000000
-2.992323	-2.829470	-2.800000	337.611654	0.108334	125.000000
-2.589311	-2.774819	-2.800000	330.592580	0.123329	126.000000
-2.378455	-2.771185	-2.800000	363.803457	0.148138	127.000000
-2.158939	-2.780673	-2.800000	409.723206	0.165998	128.000000
-1.991147	-2.779795	-2.800000	446.950531	0.196333	129.000000
-1.789430	-2.781718	-2.800000	480.509410	0.220002	130.000000
-1.590047	-2.767254	-2.800000	486.616186	0.228335	131.000000
-1.391421	-2.771476	-2.800000	481.738012	0.247665	132.000000
-1.180687	-2.776063	-2.800000	494.687833	0.272007	133.000000
-0.964910	-2.776622	-2.800000	508.156273	0.292996	134.000000
-0.774711	-2.766216	-2.800000	509.012109	0.313357	135.000000
-0.585981	-2.780951	-2.800000	545.885046	0.432117	136.000000
-0.389295	-2.776250	-2.800000	509.922692	0.345501	137.000000
-0.159947	-2.786052	-2.800000	499.907242	0.367332	138.000000
-0.001589	-2.777643	-2.800000	476.003241	0.379666	139.000000
-3.991057	-2.618557	-2.600000	613.080770	0.178668	140.000000
-3.787334	-2.613180	-2.600000	594.168335	0.169330	141.000000
