V0	Vf	V_sent	D	dt	triple_id	sample_id
1.361353	0.400647	0.400000	168.300064	0.158980	78.000000	0.000000
1.592665	0.397832	0.400000	202.294052	0.170150	79.000000	0.000000
1.790769	0.406121	0.400000	224.253586	0.186008	80.000000	0.000000
1.956866	0.408615	0.400000	268.865830	0.199999	81.000000	0.000000
2.171532	0.401328	0.400000	307.793580	0.201004	82.000000	0.000000
2.344494	0.397562	0.400000	348.632539	0.217006	83.000000	0.000000
2.592062	0.438591	0.400000	359.943116	0.215997	84.000000	0.000000
2.720148	0.406451	0.400000	432.267060	0.242996	85.000000	0.000000
2.990259	0.420916	0.400000	459.952578	0.242027	86.000000	0.000000
3.192923	0.422351	0.400000	523.300354	0.242999	87.000000	0.000000
3.359616	0.400898	0.400000	557.766604	0.270116	88.000000	0.000000
3.592674	0.428134	0.400000	603.711182	0.275020	89.000000	0.000000
3.787747	0.426493	0.400000	673.633914	0.274000	90.000000	0.000000
3.992391	0.427199	0.400000	685.959352	0.286989	91.000000	0.000000
4.191998	0.408688	0.400000	803.090821	0.297859	92.000000	0.000000
4.393152	0.426340	0.400000	772.494390	0.314222	93.000000	0.000000
4.590869	0.400328	0.400000	877.265018	0.330000	94.000000	0.000000
4.793143	0.406113	0.400000	908.732788	0.333001	95.000000	0.000000
4.974511	0.445048	0.400000	965.593873	0.330772	96.000000	0.000000
5.191675	0.405793	0.400000	1082.293214	0.363990	97.000000	0.000000
5.393182	0.437170	0.400000	1144.002203	0.359075	98.000000	0.000000
5.593107	0.434592	0.400000	1236.033451	0.359000	99.000000	0.000000
5.793310	0.425451	0.400000	1245.445570	0.374527	100.000000	0.000000
5.907354	0.449766	0.400000	1281.157720	0.383783	101.000000	0.000000
6.193150	0.443413	0.400000	1379.721459	0.399960	102.000000	0.000000
6.345938	0.437958	0.400000	1384.521973	0.401161	103.000000	0.000000
6.593567	0.426749	0.400000	1583.852054	0.416001	104.000000	0.000000
6.779665	0.407349	0.400000	1559.246587	0.415999	105.000000	0.000000
6.993342	0.440001	0.400000	1624.769059	0.418728	106.000000	0.000000
0.002576	0.579300	0.600000	30.542790	0.157582	107.000000	0.000000
0.193269	0.554079	0.600000	36.646250	0.114948	108.000000	0.000000
0.392536	0.590545	0.600000	56.984497	0.112998	109.000000	0.000000
0.792610	0.636684	0.600000	73.986237	0.100000	110.000000	0.000000
0.992019	0.606235	0.600000	103.236992	0.129363	111.000000	0.000000
1.192433	0.629321	0.600000	138.665879	0.130002	112.000000	0.000000
1.392714	0.639684	0.600000	153.742554	0.127007	113.000000	0.000000
1.590901	0.607008	0.600000	205.986038	0.155000	114.000000	0.000000
1.791881	0.601911	0.600000	216.770478	0.172001	115.000000	0.000000
1.990736	0.604049	0.600000	289.101014	0.173528	116.000000	0.000000
2.127797	0.605387	0.600000	306.263520	0.185004	117.000000	0.000000
2.392130	0.649162	0.600000	340.144441	0.187000	118.000000	0.000000
2.592922	0.601727	0.600000	365.052614	0.216997	119.000000	0.000000
2.792832	0.611846	0.600000	430.963746	0.213995	120.000000	0.000000
2.990255	0.634696	0.600000	456.780641	0.225666	121.000000	0.000000
3.188581	0.604213	0.600000	540.239380	0.245009	122.000000	0.000000
3.392661	0.604635	0.600000	558.041445	0.247030	123.000000	0.000000
3.583803	0.617117	0.600000	584.827576	0.259008	124.000000	0.000000
3.792954	0.604199	0.600000	695.012515	0.282009	125.000000	0.000000
3.993340	0.595728	0.600000	675.835328	0.283628	126.000000	0.000000
4.101931	0.642661	0.600000	756.500497	0.288070	127.000000	0.000000
4.392090	0.595483	0.600000	826.048227	0.305215	128.000000	0.000000
4.571303	0.603052	0.600000	876.637094	0.303882	129.000000	0.000000
4.793129	0.638082	0.600000	929.307007	0.315999	130.000000	0.000000
4.991228	0.613277	0.600000	1066.750863	0.344889	131.000000	0.000000
5.191767	0.626354	0.600000	1023.207895	0.332005	132.000000	0.000000
5.385570	0.600124	0.600000	1148.152844	0.353999	133.000000	0.000000
5.592606	0.606699	0.600000	1182.003910	0.359001	134.000000	0.000000
5.792710	0.642997	0.600000	1240.354751	0.362350	135.000000	0.000000
5.992805	0.614922	0.600000	1310.593025	0.387763	136.000000	0.000000
6.192159	0.602157	0.600000	1381.225353	0.391684	137.000000	0.000000
6.393144	0.600144	0.600000	1486.546631	0.402112	138.000000	0.000000
6.593125	0.605998	0.600000	1421.973398	0.399906	139.000000	0.000000
6.794006	0.603608	0.600000	1625.365730	0.418860	140.000000	0.000000
6.964018	0.600918	0.600000	1731.360367	0.415902	141.000000	0.000000
-0.000498	0.783784	0.800000	49.851174	0.159999	142.000000	0.000000
0.193261	0.788842	0.800000	64.866963	0.143999	143.000000	0.000000
0.385789	0.750884	0.800000	60.659033	0.114742	144.000000	0.000000
0.592288	0.775976	0.800000	77.750328	0.114995	145.000000	0.000000
0.992680	0.804001	0.800000	97.763756	0.116000	146.000000	0.000000
1.190444	0.820875	0.800000	123.245331	0.114187	147.000000	0.000000
1.392511	0.829148	0.800000	143.737290	0.130725	148.000000	0.000000
1.590531	0.804662	0.800000	196.766358	0.142004	149.000000	0.000000
1.791804	0.818081	0.800000	232.534165	0.157391	150.000000	0.000000
1.992852	0.825352	0.800000	260.258790	0.170998	151.000000	0.000000
2.190363	0.828954	0.800000	308.352906	0.174002	152.000000	0.000000
2.389395	0.837213	0.800000	325.148072	0.170521	153.000000	0.000000
2.591964	0.819207	0.800000	367.490815	0.201005	154.000000	0.000000
2.766369	0.806529	0.800000	415.392396	0.201661	155.000000	0.000000
2.991932	0.823231	0.800000	438.434817	0.204060	156.000000	0.000000
3.107222	0.823749	0.800000	498.809387	0.217048	157.000000	0.000000
3.392211	0.809285	0.800000	550.690186	0.241746	158.000000	0.000000
3.592685	0.802038	0.800000	604.007144	0.256233	159.000000	0.000000
3.787562	0.794951	0.800000	703.443665	0.276289	160.000000	0.000000
3.992314	0.801763	0.800000	749.353883	0.270042	161.000000	0.000000
4.192686	0.826611	0.800000	796.024423	0.286122	162.000000	0.000000
4.356007	0.794804	0.800000	868.422732	0.302577	163.000000	0.000000
4.557179	0.826079	0.800000	889.190554	0.299002	164.000000	0.000000
4.793212	0.807212	0.800000	953.258187	0.313455	165.000000	0.000000
4.991372	0.847966	0.800000	1010.329471	0.300001	166.000000	0.000000
5.191766	0.845215	0.800000	1018.653935	0.315777	167.000000	0.000000
5.392669	0.838918	0.800000	1108.985112	0.329171	168.000000	0.000000
5.517904	0.835060	0.800000	1114.689468	0.338995	169.000000	0.000000
5.791512	0.812577	0.800000	1273.888432	0.357999	170.000000	0.000000
5.993749	0.800992	0.800000	1341.317144	0.372994	171.000000	0.000000
6.193765	0.821382	0.800000	1314.587173	0.370687	172.000000	0.000000
6.393185	0.838797	0.800000	1439.433601	0.373001	173.000000	0.000000
6.538655	0.828899	0.800000	1540.606448	0.386620	174.000000	0.000000
6.792251	0.796251	0.800000	1559.246601	0.401010	175.000000	0.000000
6.993359	0.805435	0.800000	1729.703614	0.399518	176.000000	0.000000
-0.000014	0.979064	1.000000	69.338925	0.172000	177.000000	0.000000
0.192391	0.986256	1.000000	88.123310	0.171995	178.000000	0.000000
0.392956	0.974237	1.000000	88.885554	0.142962	179.000000	0.000000
0.590665	0.980657	1.000000	96.903137	0.128009	180.000000	0.000000
0.791014	0.962018	1.000000	100.619068	0.101914	181.000000	0.000000
1.192153	1.003452	1.000000	118.513581	0.114003	182.000000	0.000000
1.392209	1.017582	1.000000	153.929917	0.114931	183.000000	0.000000
1.592307	1.000608	1.000000	185.574677	0.128210	184.000000	0.000000
1.792374	1.014573	1.000000	229.901536	0.143072	185.000000	0.000000
1.972394	1.004674	1.000000	271.244080	0.158092	186.000000	0.000000
2.153068	1.006487	1.000000	287.324861	0.159554	187.000000	0.000000
2.346529	1.008574	1.000000	337.277985	0.168999	188.000000	0.000000
2.535190	1.001722	1.000000	383.223329	0.185987	189.000000	0.000000
2.792174	1.015595	1.000000	406.161195	0.201215	190.000000	0.000000
2.991910	1.004249	1.000000	499.751895	0.217522	191.000000	0.000000
