V0	Vf	V_sent
0.000000	-0.200000	-0.200000	0.000000
-0.200000	0.000000	0.000000	1.000000
0.200000	0.000000	0.000000	2.000000
0.400000	0.000000	0.000000	3.000000
0.600000	0.000000	0.000000	4.000000
0.800000	0.000000	0.000000	5.000000
1.000000	0.000000	0.000000	6.000000
1.200000	0.000000	0.000000	7.000000
1.400000	0.000000	0.000000	8.000000
1.600000	0.000000	0.000000	9.000000
1.800000	0.000000	0.000000	10.000000
2.000000	0.000000	0.000000	11.000000
2.200000	0.000000	0.000000	12.000000
2.400000	0.000000	0.000000	13.000000
2.600000	0.000000	0.000000	14.000000
2.800000	0.000000	0.000000	15.000000
3.000000	0.000000	0.000000	16.000000
3.200000	0.000000	0.000000	17.000000
3.400000	0.000000	0.000000	18.000000
3.600000	0.000000	0.000000	19.000000
3.800000	0.000000	0.000000	20.000000
4.000000	0.000000	0.000000	21.000000
4.200000	0.000000	0.000000	22.000000
4.400000	0.000000	0.000000	23.000000
4.600000	0.000000	0.000000	24.000000
4.800000	0.000000	0.000000	25.000000
5.000000	0.000000	0.000000	26.000000
5.200000	0.000000	0.000000	27.000000
5.400000	0.000000	0.000000	28.000000
5.600000	0.000000	0.000000	29.000000
5.800000	0.000000	0.000000	30.000000
6.000000	0.000000	0.000000	31.000000
6.200000	0.000000	0.000000	32.000000
6.400000	0.000000	0.000000	33.000000
6.600000	0.000000	0.000000	34.000000
6.800000	0.000000	0.000000	35.000000
7.000000	0.000000	0.000000	36.000000
0.000000	0.200000	0.200000	37.000000
0.400000	0.200000	0.200000	38.000000
0.600000	0.200000	0.200000	39.000000
0.800000	0.200000	0.200000	40.000000
1.000000	0.200000	0.200000	41.000000
1.200000	0.200000	0.200000	42.000000
1.400000	0.200000	0.200000	43.000000
1.600000	0.200000	0.200000	44.000000
1.800000	0.200000	0.200000	45.000000
2.000000	0.200000	0.200000	46.000000
2.200000	0.200000	0.200000	47.000000
2.400000	0.200000	0.200000	48.000000
2.600000	0.200000	0.200000	49.000000
2.800000	0.200000	0.200000	50.000000
3.000000	0.200000	0.200000	51.000000
3.200000	0.200000	0.200000	52.000000
3.400000	0.200000	0.200000	53.000000
3.600000	0.200000	0.200000	54.000000
